filename,title,year,certainty
104184105.txt,Song in praise of the highland lads - L.C.2786.A(1),1826,
104184106.txt,Two new songs - L.C.2786.A(10),1835,
104184107.txt,"Report of the cattle show at Trearne, 10th Sept. 1836 - L.C.2786.A(11)",1836,
104184108.txt,Laird of Ardenoaige and the Ghost of Fenhaglen - L.C.2786.A(12),1838,
104184109.txt,Comical story of Thrummy Cap and the ghaist - L.C.2786.A(13),1850,
104184110.txt,Old Scottish tragical ballad of Sir James the Rose - L.C.2786.A(14),1840,
104184111.txt,True and correct narrative of the dreadful burning of the steam-ship Amazon - L.C.2786.A(15),1852,
104184112.txt,Picture of war - L.C.2786.A(16),1826,
104184113.txt,Tales for the farmers' ingle-neuk - L.C.2786.A(17),1826,
104184114.txt,Elegy on the year eighty-eight - L.C.2786.A(19),1799,
104184115.txt,"Melancholy loss of the whale-fishing ship Oscar, of Aberdeen, on Thursday, April 1, 1813 - L.C.2786.A(2)",1853,
104184116.txt,Emigrant - L.C.2786.A(26),1796,
104184117.txt,"Watty & Meg, or, The wife reformed - L.C.2786.A(27)",1801,
104184118.txt,"Mill o' Tiftie's Annie, or, Andrew Lammie, the trumpeter of Fyvie - L.C.2786.A(3)",1868,
104184119.txt,Three crump twin brothers of Damascus - L.C.2786.A(30),1809,
104184120.txt,Interesting letter from Queen Caroline to King George IV - L.C.2786.A(31),1820,
104184121.txt,Wellington's address - L.C.2786.A(32),1824,
104184122.txt,Life of Robert Burns - L.C.2786.A(33),1828,
104184123.txt,Life of Oliver Cromwell - L.C.2786.A(34),1828,
104184124.txt,Sir James the Rose - L.C.2786.A(4),1891,
104184125.txt,Hermit of Powis - L.C.2786.A(5),1873,
104184126.txt,Village pestilence - L.C.2786.A(6),1835,
104184127.txt,"Miser and the prodigal, a moral tale - L.C.2786.A(7)",1830,
104184128.txt,Remarkable account of a shipwreck on an uninhabited island - L.C.2786.A(8),1830,
104184129.txt,"Selection of songs, &c. - L.C.2786.A(9)",1835,
104184130.txt,Most strange and wonderful prophecy in the year 1684 - L.C.2786.A.(20),1714,uncertain
104184131.txt,"To the ministers and elders met at Edinburgh, April 26, 1710 - L.C.2786.A.(21)",1710,
104184132.txt,"Sermon preached by Mr. James Rows [sic], in St. Geil's Kirk at Edinburgh, which has been commonly known by the name of Pockmanty preaching - L.C.2786.A.(22)",1715,
104184133.txt,True account of the wonderful conversion at Cambuslang - L.C.2786.A.(24),1742,
104184134.txt,Account of the last words of Christian Ker - L.C.2786.A.(25),1759,
104184135.txt,Burns' celebrated songs - L.C.2786.A.(29),1805,
104184136.txt,Geographical description of Scotland - L.C.2786A(18),1681,
104184137.txt,"Mournfull song, upon the breach of national, and solemn league, and covenant - L.C.2786A(23)",1724,
104184138.txt,[I]nterlocutor - L.C.2786A(28),1803,
104184139.txt,Four excellent new songs - L.C.2787(1),1771,
104184140.txt,"Patriotic song, or, Bonaparte will be here - L.C.2787(11)",1810,
104184141.txt,"Faithless captain, or, The betray'd virgin - L.C.2787(12)",1810,
104184142.txt,New song on the death of General Abercrombie - L.C.2787(13),1810,
104184143.txt,"Canty carlie, or, The raveled bridal of Auchronie - L.C.2787(14)",1810,
104184144.txt,"Excellent new song, called The blae berries - L.C.2787(15)",1801,
104184145.txt,History and comical transactions of Lothian Tom - Part 1 - L.C.2787(16),1800,uncertain
104184147.txt,Dusky night - L.C.2787(18),1820,
104184148.txt,Sailor bold - L.C.2787(2),1771,
104184149.txt,Bride's burial - L.C.2787(3),1771,
104184150.txt,Patient countess - L.C.2787(4),1771,
104184151.txt,Taylor's garland - L.C.2787(5),1771,
104184152.txt,Crafty squire's garland - L.C.2787(6),1771,
104184153.txt,Excellent new song called the farmer's glory - L.C.2787(7),1771,
104184154.txt,Four excellent new songs - L.C.2787(8),1771,
104184155.txt,Four excellent new songs - L.C.2787(9),1771,
104184156.txt,Three excellent new songs - L.C.2787.(10),1771,
104184157.txt,"Fun upon fun, or, Leper the tailor - L.C.2788(1)",1880,
104184158.txt,Gems of Scottish song - L.C.2788(10),1880,
104184159.txt,Laird o' Drum and The baron o'Leys - L.C.2788(11),1888,
104184160.txt,History of Will and Jean - L.C.2788(2),1880,
104184161.txt,"Mill o' Tiftie's Annie, or, Andrew Lammie, the trumpeter of Fyvie - L.C.2788(3)",1893,
104184162.txt,Thrummy cap - L.C.2788(4),1880,
104184163.txt,"Watty and May, or, The wife reclaimed - L.C.2788(5)",1880,
104184164.txt,"Gems of Tannahill's songs, &c. &c. - L.C.2788(6)",1880,
104184165.txt,Songs of bonnie Scotland - L.C.2788(7),1880,
104184166.txt,"Merry humours, wise sayings, and curious adventures of George Buchanan - L.C.2788(8)",1880,
104184167.txt,Witty and entertaining exploits of Geo. Buchanan - L.C.2788(9),1880,
104184168.txt,"New song, called Auld Scotia free - L.C.2789(1)",1820,
104184169.txt,Highland piper's advice to drinkers - L.C.2789(2),1840,
104184170.txt,Scotch songs - L.C.2790(1),1817,
104184171.txt,Burns's songs - L.C.2790(2),1817,
104184172.txt,Historical ballad of May Culzean - L.C.2790(3),1817,
