ElfFairy Type,Cause of Malice,Motif Type,Ritual Object Type,Case Notes,Folk Notes
Green,Revenge,Three,Fire,"Very complicated legal wrangling.  She was arrested in ?Nidrie, but because there was no tolbooth she was held in Edinburgh for 8 weeks with no movement in her case.  Husband complained, trial set for 22/9/1629, appointed sheriff and bailies of Edinbugh as judges - they needed help so PC appointed 4 assessors.  The trial didn't happen untill 11/11/1629.","Ritual involved plucking a nettle by the root, urinating on it and walking around it three times to cure a disease.  Her servant saw her light a fire between two doors and walk a new born calf over it.  A neighbour found her in a trance-like state laying on her floor by the fire, they heard a great din and mumbling."
Thorn Tree,Revenge,Prayer,Clothing,NA,"Many details about her healing rituals some of which used words in the form of prayers. Others involved complicated use of south running water, hair and nail trimmings, bannocks, and other objects."
Green,Revenge,Three,Nettle,"Very complicated legal wrangling.  She was arrested in ?Nidrie, but because there was no tolbooth she was held in Edinburgh for 8 weeks with no movement in her case.  Husband complained, trial set for 22/9/1629, appointed sheriff and bailies of Edinbugh as judges - they needed help so PC appointed 4 assessors.  The trial didn't happen untill 11/11/1629.","Ritual involved plucking a nettle by the root, urinating on it and walking around it three times to cure a disease.  Her servant saw her light a fire between two doors and walk a new born calf over it.  A neighbour found her in a trance-like state laying on her floor by the fire, they heard a great din and mumbling."
Male fairy (elf),Failed business interaction,Three,Wax,NA,"Claimed her mother learned her skill from an elf man who had lain with her. Used paper and threads to stop a woman's husband from beating her. Used coin and red wax wrapped in cloth, to ensure marriages. The talisman was to be worn about the neck and when the desired partner was seen it was to be used to strike the face. Turned a new born baby three times, baby then died. Cured oxen by tying them with a collar/bridle. When they were released the person who released them took ill and died. Accused of bewitching doors/thresholds. Later either the next person to touch the door or animal to cross over, took ill and died. Took dead people's bones and rinsed them in water. The water was then used to cure a sick person and the bones to be thrown into the River Don. The river 'rumlit as all the hills hed fallin thairin'. Took burning coal at Hallowe'en and buried it in her yard."
Green,Revenge,Three,Urine,"Very complicated legal wrangling.  She was arrested in ?Nidrie, but because there was no tolbooth she was held in Edinburgh for 8 weeks with no movement in her case.  Husband complained, trial set for 22/9/1629, appointed sheriff and bailies of Edinbugh as judges - they needed help so PC appointed 4 assessors.  The trial didn't happen untill 11/11/1629.","Ritual involved plucking a nettle by the root, urinating on it and walking around it three times to cure a disease.  Her servant saw her light a fire between two doors and walk a new born calf over it.  A neighbour found her in a trance-like state laying on her floor by the fire, they heard a great din and mumbling."
Green,Verbal Insult,Three,Fire,"Very complicated legal wrangling.  She was arrested in ?Nidrie, but because there was no tolbooth she was held in Edinburgh for 8 weeks with no movement in her case.  Husband complained, trial set for 22/9/1629, appointed sheriff and bailies of Edinbugh as judges - they needed help so PC appointed 4 assessors.  The trial didn't happen untill 11/11/1629.","Ritual involved plucking a nettle by the root, urinating on it and walking around it three times to cure a disease.  Her servant saw her light a fire between two doors and walk a new born calf over it.  A neighbour found her in a trance-like state laying on her floor by the fire, they heard a great din and mumbling."
Green,Verbal Insult,Three,Nettle,"Very complicated legal wrangling.  She was arrested in ?Nidrie, but because there was no tolbooth she was held in Edinburgh for 8 weeks with no movement in her case.  Husband complained, trial set for 22/9/1629, appointed sheriff and bailies of Edinbugh as judges - they needed help so PC appointed 4 assessors.  The trial didn't happen untill 11/11/1629.","Ritual involved plucking a nettle by the root, urinating on it and walking around it three times to cure a disease.  Her servant saw her light a fire between two doors and walk a new born calf over it.  A neighbour found her in a trance-like state laying on her floor by the fire, they heard a great din and mumbling."
Green,Grudge,Pilgrimage,Turf,NA,Accused of going to the burn of Bogloch on the first Monday of the quarter and taking some of the water and casting it over her shoulder. Also accused of collecting the dew off the grass with a blanket at the same time. This was testified by the minister as being a ceremony associated with witchcraft. Accused of cutting her heidleas (ribbon) into 9 pieces and burying them under the barn door of a neighbour. Accused of passing a knife 3 times over a cow while it was being bulled ?to ensure fertility. Laid a new calf on a piece of turf to met/measure it.
Green,Verbal Insult,Three,Urine,"Very complicated legal wrangling.  She was arrested in ?Nidrie, but because there was no tolbooth she was held in Edinburgh for 8 weeks with no movement in her case.  Husband complained, trial set for 22/9/1629, appointed sheriff and bailies of Edinbugh as judges - they needed help so PC appointed 4 assessors.  The trial didn't happen untill 11/11/1629.","Ritual involved plucking a nettle by the root, urinating on it and walking around it three times to cure a disease.  Her servant saw her light a fire between two doors and walk a new born calf over it.  A neighbour found her in a trance-like state laying on her floor by the fire, they heard a great din and mumbling."
Green,Failed business interaction,Three,Fire,"Very complicated legal wrangling.  She was arrested in ?Nidrie, but because there was no tolbooth she was held in Edinburgh for 8 weeks with no movement in her case.  Husband complained, trial set for 22/9/1629, appointed sheriff and bailies of Edinbugh as judges - they needed help so PC appointed 4 assessors.  The trial didn't happen untill 11/11/1629.","Ritual involved plucking a nettle by the root, urinating on it and walking around it three times to cure a disease.  Her servant saw her light a fire between two doors and walk a new born calf over it.  A neighbour found her in a trance-like state laying on her floor by the fire, they heard a great din and mumbling."
Green,Failed business interaction,Three,Nettle,"Very complicated legal wrangling.  She was arrested in ?Nidrie, but because there was no tolbooth she was held in Edinburgh for 8 weeks with no movement in her case.  Husband complained, trial set for 22/9/1629, appointed sheriff and bailies of Edinbugh as judges - they needed help so PC appointed 4 assessors.  The trial didn't happen untill 11/11/1629.","Ritual involved plucking a nettle by the root, urinating on it and walking around it three times to cure a disease.  Her servant saw her light a fire between two doors and walk a new born calf over it.  A neighbour found her in a trance-like state laying on her floor by the fire, they heard a great din and mumbling."
Green,Failed business interaction,Three,Urine,"Very complicated legal wrangling.  She was arrested in ?Nidrie, but because there was no tolbooth she was held in Edinburgh for 8 weeks with no movement in her case.  Husband complained, trial set for 22/9/1629, appointed sheriff and bailies of Edinbugh as judges - they needed help so PC appointed 4 assessors.  The trial didn't happen untill 11/11/1629.","Ritual involved plucking a nettle by the root, urinating on it and walking around it three times to cure a disease.  Her servant saw her light a fire between two doors and walk a new born calf over it.  A neighbour found her in a trance-like state laying on her floor by the fire, they heard a great din and mumbling."
Green,Grudge,Pilgrimage,Ribbon,NA,Accused of going to the burn of Bogloch on the first Monday of the quarter and taking some of the water and casting it over her shoulder. Also accused of collecting the dew off the grass with a blanket at the same time. This was testified by the minister as being a ceremony associated with witchcraft. Accused of cutting her heidleas (ribbon) into 9 pieces and burying them under the barn door of a neighbour. Accused of passing a knife 3 times over a cow while it was being bulled ?to ensure fertility. Laid a new calf on a piece of turf to met/measure it.
Green,Grudge,Pilgrimage,Water,NA,Accused of going to the burn of Bogloch on the first Monday of the quarter and taking some of the water and casting it over her shoulder. Also accused of collecting the dew off the grass with a blanket at the same time. This was testified by the minister as being a ceremony associated with witchcraft. Accused of cutting her heidleas (ribbon) into 9 pieces and burying them under the barn door of a neighbour. Accused of passing a knife 3 times over a cow while it was being bulled ?to ensure fertility. Laid a new calf on a piece of turf to met/measure it.
Green,Grudge,Pilgrimage,Knife,NA,Accused of going to the burn of Bogloch on the first Monday of the quarter and taking some of the water and casting it over her shoulder. Also accused of collecting the dew off the grass with a blanket at the same time. This was testified by the minister as being a ceremony associated with witchcraft. Accused of cutting her heidleas (ribbon) into 9 pieces and burying them under the barn door of a neighbour. Accused of passing a knife 3 times over a cow while it was being bulled ?to ensure fertility. Laid a new calf on a piece of turf to met/measure it.
Green,Debt,Pilgrimage,Ribbon,NA,Accused of going to the burn of Bogloch on the first Monday of the quarter and taking some of the water and casting it over her shoulder. Also accused of collecting the dew off the grass with a blanket at the same time. This was testified by the minister as being a ceremony associated with witchcraft. Accused of cutting her heidleas (ribbon) into 9 pieces and burying them under the barn door of a neighbour. Accused of passing a knife 3 times over a cow while it was being bulled ?to ensure fertility. Laid a new calf on a piece of turf to met/measure it.
Green,Debt,Pilgrimage,Turf,NA,Accused of going to the burn of Bogloch on the first Monday of the quarter and taking some of the water and casting it over her shoulder. Also accused of collecting the dew off the grass with a blanket at the same time. This was testified by the minister as being a ceremony associated with witchcraft. Accused of cutting her heidleas (ribbon) into 9 pieces and burying them under the barn door of a neighbour. Accused of passing a knife 3 times over a cow while it was being bulled ?to ensure fertility. Laid a new calf on a piece of turf to met/measure it.
Green,Debt,Pilgrimage,Water,NA,Accused of going to the burn of Bogloch on the first Monday of the quarter and taking some of the water and casting it over her shoulder. Also accused of collecting the dew off the grass with a blanket at the same time. This was testified by the minister as being a ceremony associated with witchcraft. Accused of cutting her heidleas (ribbon) into 9 pieces and burying them under the barn door of a neighbour. Accused of passing a knife 3 times over a cow while it was being bulled ?to ensure fertility. Laid a new calf on a piece of turf to met/measure it.
